name,codename,architecture,coresTotal,coresPhysical,speedGzMin,speedGzMax,socket,technologyNodeUnit,technologyNodeValue,cacheL3Unit,cacheL3Size,thermalDesignPowerUnit,thermalDesignPowerValue,released
Core i3-1215U (IPU),Alder Lake-U,x86_64,8,6,1.2,4.4,BGA 1744,nanometers,10,MB,10,watts,15,2022-02-23
Core i3-1220P,Alder Lake-P,x86_64,12,10,1.5,4.4,BGA 1744,nanometers,10,MB,12,watts,28,2022-02-23
Core i3-12300,Alder Lake-S,x86_64,8,4,3.5,4.4,1700,nanometers,10,MB,12,watts,60,2022-01-01
Core i3-12300HE,Alder Lake-H,x86_64,12,8,1.9,4.3,BGA 1744,nanometers,10,MB,12,watts,45,2022-01-01
Core i3-12300T,Alder Lake-S,x86_64,8,4,2.3,4.2,1700,nanometers,10,MB,12,watts,35,2022-01-01
Core i5-1230U,Alder Lake-U,x86_64,12,10,1,4.4,BGA 1781,nanometers,10,MB,12,watts,9,2022-02-23
Core i5-1235U,Alder Lake-U,x86_64,12,10,1.3,4.4,BGA 1744,nanometers,10,MB,12,watts,15,2022-02-23
Core i5-1235U (IPU),Alder Lake-U,x86_64,12,10,1.3,4.4,BGA 1744,nanometers,10,MB,12,watts,15,2022-02-23
Core i5-12400,Alder Lake-S,x86_64,12,6,2.5,4.4,1700,nanometers,10,MB,18,watts,65,2022-01-04
Core i5-12400T,Alder Lake-S,x86_64,12,6,1.8,4.2,1700,nanometers,10,MB,18,watts,35,2022-01-01
Core i5-1240P,Alder Lake-P,x86_64,16,12,1.7,4.4,BGA 1744,nanometers,10,MB,12,watts,28,2022-02-23
Core i5-1240U,Alder Lake-U,x86_64,12,10,1.1,4.4,BGA 1781,nanometers,10,MB,12,watts,9,2022-02-23
Core i5-12450H,Alder Lake-H,x86_64,12,8,2,4.4,BGA 1744,nanometers,10,MB,12,watts,45,2022-01-01
Core i5-12450HX,Alder Lake-HX,x86_64,12,8,2.4,4.4,BGA 1964,nanometers,10,MB,12,watts,55,2022-05-10
Core i5-1245U,Alder Lake-U,x86_64,12,10,1.6,4.4,BGA 1744,nanometers,10,MB,12,watts,15,2022-02-23
Core i5-12500H,Alder Lake-H,x86_64,16,12,2.5,4.5,BGA 1744,nanometers,10,MB,18,watts,45,2022-01-01
